video,frame,time_s,head_food_dist
IMG_2855_dish0.mp4,41379,1379.9439738544654,250.65056760356126
IMG_2855_dish0.mp4,41379,1379.9439738544654,187.26883855159684
IMG_2855_dish0.mp4,41379,1379.9439738544654,190.32562596052472
IMG_2855_dish0.mp4,41379,1379.9439738544654,15.715186031959355
IMG_2855_dish0.mp4,41379,1379.9439738544654,69.46161486314601
IMG_2855_dish0.mp4,41379,1379.9439738544654,168.73820186697472
IMG_2855_dish0.mp4,41379,1379.9439738544654,104.94484463315483
IMG_2855_dish0.mp4,41379,1379.9439738544654,80.46504584752414
IMG_2855_dish0.mp4,41379,1379.9439738544654,288.85223444904716
IMG_2855_dish0.mp4,14189,473.1874874941639,283.59499674591615
IMG_2855_dish0.mp4,14189,473.1874874941639,297.7564460673304
IMG_2855_dish0.mp4,14189,473.1874874941639,358.3560681090765
IMG_2855_dish0.mp4,14189,473.1874874941639,419.03447477403984
IMG_2855_dish0.mp4,14189,473.1874874941639,284.6517426922052
IMG_2855_dish0.mp4,14189,473.1874874941639,412.5816229556485
IMG_2855_dish0.mp4,14189,473.1874874941639,397.1318500080655
IMG_2855_dish0.mp4,14189,473.1874874941639,348.8369878791934
IMG_2855_dish0.mp4,14189,473.1874874941639,319.67492394761666
IMG_2855_dish0.mp4,40776,1359.8345894750885,243.71966501735858
IMG_2855_dish0.mp4,40776,1359.8345894750885,182.66561107259378
IMG_2855_dish0.mp4,40776,1359.8345894750885,184.31265253027019
IMG_2855_dish0.mp4,40776,1359.8345894750885,57.19639736721755
IMG_2855_dish0.mp4,40776,1359.8345894750885,67.95136796570686
IMG_2855_dish0.mp4,40776,1359.8345894750885,69.09752802938826
IMG_2855_dish0.mp4,40776,1359.8345894750885,146.75185880274975
IMG_2855_dish0.mp4,40776,1359.8345894750885,105.99047664349887
IMG_2855_dish0.mp4,40776,1359.8345894750885,266.8370102437347
IMG_2855_dish0.mp4,24920,831.0544920963116,244.50743079751396
IMG_2855_dish0.mp4,24920,831.0544920963116,331.87839114587035
