video,frame,time_s,arena_cx,arena_cy,arena_r,food_x,food_y,leech_idx,ant_x,ant_y,post_x,post_y,mid_x,mid_y,heading_am_rad,food_dir_rad,food_align_deg,body_align_deg,is_straight
IMG_2855_dish0.mp4,2719,90.67564863603016,505.8000030517578,614.9999694824219,427.19998931884766,,,0,269.84470019934133,602.2616481699308,339.7303518030829,615.9815306933648,303.71566017906883,619.4115013242232,2.6728945824799153,,,32.29475337152392,False
IMG_2855_dish0.mp4,2719,90.67564863603016,505.8000030517578,614.9999694824219,427.19998931884766,,,1,263.842251595339,802.0574374174374,390.92925476160895,663.9890812146273,346.8816728307254,729.7406871737359,-2.4251051274988775,,,15.129808564203179,True
IMG_2855_dish0.mp4,2719,90.67564863603016,505.8000030517578,614.9999694824219,427.19998931884766,,,2,281.8005423715144,724.9975764663182,328.84132306389495,707.5554892433007,310.34213964554306,717.5979030989774,-2.8879185574511523,,,13.961183537704922,True
IMG_2855_dish0.mp4,2719,90.67564863603016,505.8000030517578,614.9999694824219,427.19998931884766,,,3,184.37934573799896,785.9091350593097,303.1420788314739,842.5036504684751,249.97753405316743,814.6351390927498,2.728839394042171,,,4.014218575471566,True
IMG_2855_dish0.mp4,2719,90.67564863603016,505.8000030517578,614.9999694824219,427.19998931884766,,,4,338.7280355753928,904.6718681527842,376.45771251483615,866.5134448844834,431.33724260857184,863.0834742536249,-2.7195089949725286,,,159.39272213478748,False
IMG_2855_dish0.mp4,2719,90.67564863603016,505.8000030517578,614.9999694824219,427.19998931884766,,,5,225.11133334677496,354.17292174929946,180.1847450450632,434.51223259471345,211.897630905095,396.4567695626752,1.267911458419925,,,22.451546456003793,False
IMG_2855_dish0.mp4,2719,90.67564863603016,505.8000030517578,614.9999694824219,427.19998931884766,,,6,402.74859755219336,960.1603938864836,365.44766694160734,970.0215594502016,409.179792485053,979.4539786850625,1.892546881191539,,,120.60640703150952,False
IMG_2855_dish0.mp4,2719,90.67564863603016,505.8000030517578,614.9999694824219,427.19998931884766,,,7,576.4433853482515,964.4078325538532,646.3264562514137,985.2924284559476,640.703680431619,941.9167292746748,-2.8049178342030703,,,101.90400306792112,False
IMG_2855_dish0.mp4,2719,90.67564863603016,505.8000030517578,614.9999694824219,427.19998931884766,,,8,858.9760102157567,440.9907481845516,824.4421993393004,446.85498022017623,821.1842926528423,444.24865487100976,0.08599429119424155,,,136.4130817982611,False
IMG_2855_dish0.mp4,41379,1379.9439738544654,547.800048828125,487.8000030517578,423.7200241088867,644.3997743927243,435.27579497879793,0,458.18137108535393,603.0506837722075,389.5819584681843,707.6647880133913,418.7367088304814,658.787706523658,0.9549263748553715,0.7806090774483763,9.9876454375476,4.471043223330437,True
