entity,treatment,low_confidence,n_frames,unique_cells,cell_cm,area_grid_cm2,hull_area_cm2,pct_arena_grid,pct_arena_hull,sat_50,range_x_cm,range_y_cm
dish1,Veh+Food,False,149784,155,0.25,9.6875,12.684814667131352,15.227787764965296,19.93926870596079,0.5032258064516129,4.110233100233119,5.575918414918441
dish2,DA+Food,False,149784,194,0.25,12.125,24.033847699756162,19.05929565421463,37.77882136231083,0.6134020618556701,6.5092230769231065,6.467859906759935
dish3,Veh+NoFood,False,149784,35,0.25,2.1875,1.976339312411885,3.438532721121196,3.1066090942932263,0.9714285714285714,1.721301328671336,1.6679643822843901
dish4_leech0,DA+NoFood L0,True,149784,372,0.25,23.25,59.390348804638016,36.54669063591671,93.35572922676522,0.543010752688172,8.399527552447589,9.592764545454587
dish4_leech1,DA+NoFood L1,True,149784,175,0.25,10.9375,24.471511416906733,17.19266360560598,38.46678525363416,0.9657142857142857,4.643664965034986,8.045997459207495
