entity,treatment,dish,low_conf,median_bl_cm,bl_min_cm,bl_max_cm,bl_range_cm,cv_bl,pct_time_elongated,elong_rate_per_min,contr_rate_per_min,dom_freq_hz,dom_rel_power,head_path_cm,tail_path_cm,head_tail_path_ratio
dish1,Veh+Food,dish1,0,1.1374738836027953,0.004561959157744528,2.4416488828160516,2.437086923658307,0.4057754002465776,50.0,6.812540200395216,6.8005251383133904,0.02500093749620968,0.1974657350177833,1366.4859972411255,293.571119295013,4.654701731296423
dish2,DA+Food,dish2,0,1.132555768341795,0.0016194154830376144,3.0488631718903227,3.047243756407285,0.6178291905066734,50.0,6.968736007458951,6.968736007458951,0.016667291664139786,0.2561791092895106,974.1842818909201,411.2257492754477,2.3689768542153984
dish3,Veh+NoFood,dish3,0,0.8832945018603449,0.00017892773892747016,1.6201072116033977,1.6199282838644702,0.1989479338339939,50.0,2.2468166093014204,2.2828617955468977,0.02500093749620968,0.22705666036507666,303.8625188710571,132.37774649948318,2.295419939576048
dish4_leech0,DA+NoFood L0,dish4,1,0.7562786938077712,0.0007564728022668276,2.5545156652559764,2.5537591924537097,0.5890087897241759,50.0,13.216568290008356,13.384779159153917,0.03333458332827957,0.14850705493164176,1369.6868788745444,686.8393503309522,1.9941881288754981
dish4_leech1,DA+NoFood L1,dish4,1,0.3655853837245191,0.000451298659368248,1.6559848789793996,1.6555335803200313,0.5891209038785151,50.0,18.07065337106597,18.01057806065684,0.016667291664139786,0.19892620977954992,744.0278252078158,366.83871268622545,2.028215124187883
