entity,treatment,low_confidence,n_frames,unique_cells,cell_cm,area_grid_cm2,hull_area_cm2,pct_arena_grid,pct_arena_hull,sat_50,range_x_cm,range_y_cm
Video1_dish0_L0,Dopamine L0,True,63005,4,0.25,0.25,0.09569310409955015,2.598448050479924,0.9946142391673941,1.0,0.35259039080419713,0.36541246129370786
Video1_dish0_L1,Dopamine L1,True,63005,1,0.25,0.0625,0.014312649030767614,0.649612012619981,0.14876269988480595,1.0,0.15673153051282143,0.13902159723776286
Video1_dish1_L0,DA+Food L0,True,63005,6,0.25,0.375,0.08009964745119444,3.8976720757198864,0.8325390910547417,0.6666666666666666,0.604456243216786,0.25753216909090987
Video1_dish1_L1,DA+Food L1,True,63005,6,0.25,0.375,0.074522879393024,3.8976720757198864,0.774575322699815,1.0,0.40998232258741474,0.35656363384615547
Video2_dish0_L0,Veh+NoFood L0,False,64755,3,0.25,0.1875,0.020115148488154665,1.9488360378599432,0.20907267349663872,1.0,0.22874100926573537,0.13082005856643406
Video2_dish0_L1,Veh+NoFood L1,False,64755,3,0.25,0.1875,0.008950562366187097,1.9488360378599432,0.09303028532447136,1.0,0.10062805116550139,0.13895197284382368
Video2_dish1_L0,Veh+Food L0,True,64755,13,0.25,0.8125,0.45004417685200804,8.444956164059754,4.677665655883771,0.7692307692307693,0.7693678009440591,1.5901464061538533
Video2_dish1_L1,Veh+Food L1,True,64755,24,0.25,1.5,1.050177017703697,15.590688302879546,10.91532169724397,0.625,1.018921431713291,1.4082897633916145
